Country Name,Country Code,Series Name,Series Code,1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Lao PDR,LAO,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,489.957743732574,641.74019759151,468.304298095894,278.393227986057,148.965065880362,172.523209033872,203.256017515183,234.764338309131,250.604496768721,287.394842853074,325.941611824232,363.880052363735,378.428605804859,345.921844238226,248.839091451223,277.810212956951,325.186937142965,326.941786715295,320.061459657186,362.821413486106,417.929168487738,475.610796203932,591.000192026606,710.376406739149,900.738763855308,949.178381146866,1141.23570253091,1378.49849195356,1581.62871010675,1831.93691581168,1999.95820314913,2140.04432280044,2324.40091700425,2455.21155944893,2569.09389217251,2613.94442676868,2608.98283307549,2551.32608148502
Lao PDR,LAO,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,1757142805.71429,2366666615.55556,1776842041.05263,1087273103.69639,598961269.297879,714046821.093797,865559856.1639,1028087972.31085,1127806944.61513,1327748654.65969,1543606345.11684,1763536304.53964,1873671550.34636,1747011857.33107,1280177838.71905,1454430642.49183,1731198022.45494,1768619058.34647,1758176653.07746,2023324407.30316,2366398119.8821,2735558726.25625,3455031447.60194,4223152219.2439,5446434031.69042,5836138127.06562,7131773632.71369,8750107401.57872,10192848926.2582,11983252611.2727,13279248478.8161,14426381187.0894,15912495368.8717,17071162084.4067,18141651381.3884,18740559554.1632,18981800705.0794,18827148530.0151
Latvia,LVA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.8787804878049,69.8134146341464,69.7409756097561,68.9253658536585,69.0478048780488,69.1046341463415,68.9878048780488,68.4956097560976,68.8085365853659,68.7863414634146,69.3282926829268,69.1190243902439,69.1629268292683,69.2914634146342,70.6224390243903,70.6929268292683,70.6153658536585,70.1553658536586,69.2731707317073,69.0324390243903,68.3960975609756,66.7226829268293,65.6643902439025,66.3912195121951,68.7765853658537,69.3492682926829,69.0121951219512,69.7429268292683,70.3146341463415,70.7609756097561,70.9609756097561,71.2658536585366,72.0268292682927,71.3560975609756,70.8658536585366,71.019512195122,72.419512195122,73.0804878048781,73.4829268292683,73.5756097560976,73.7780487804878,73.9829268292683,74.1243902439024,74.4804878048781,74.580487804878,74.6292682926829,74.7829268292683,75.3878048780488,75.3878048780488,..
Latvia,LVA,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18780,17200,13970,11760,10220,9000,9010,8530,8130,7550,6930,7360,7349.99990463257,7590.00015258789,7619.99988555908,7710.00003814697,8199.99980926514,8529.99973297119,8109.99965667725,7360.0001335144,8520.00045776367,7900.00009536743,7570.00017166138,7449.99980926514,7280.00020980835,7320.00017166138,7150.00009536743,7119.99988555908,7789.99996185303,7570.00017166138,..,..
Latvia,LVA,"Population, total",SP.POP.TOTL,2395674,2415819,2437186,2456130,2470989,2485073,2497921,2505953,2511701,2519421,2531080,2546011,2562047,2578873,2599892,2626583,2653434,2666955,2663151,2650581,2614338,2563290,2520742,2485056,2457222,2432851,2410019,2390482,2367550,2337170,2310173,2287955,2263122,2238799,2218357,2200325,2177322,2141669,2097555,2059709,2034319,2012647,1993782,1977527,1959537,1942248,1927174,1913822,1900449,1883162
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2329.57673252552,2431.70899961616,2683.2413681237,2973.53484252681,3151.57701817354,3361.64086880275,3578.00190041351,4136.93329688951,5145.19523190241,6378.66652057115,7594.90238431362,9723.44690174779,14113.5291277327,16467.1436879405,12331.9285524089,11420.9940032836,13338.9622350852,13847.3379393194,15007.4918561719,15742.3913381908,13786.4567953114,14331.7515885049,15695.1151541059,17865.0310947642,17926.841589919,17703.9534432332,20642.1679221253
Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5789128636.62293,5975248851.45482,6527926445.6811,7166275467.65161,7533788133.55753,7958852838.93395,8362398701.58943,9557031605.27512,11771975156.8073,14435700533.368,17003459863.0989,21570076498.6205,31054350977.9784,35854274228.9139,26410909090.9091,23956163076.5575,27474380566.265,28169902669.3784,30204783461.8488,31386896487.0407,27263090547.0617,28083597512.4841,30483806017.8318,34429023435.0211,34308783825.3019,33645460617.239,38872546228.5653
Lebanon,LBN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.565,66.789,66.995,67.183,67.352,67.507,67.656,67.802,67.952,68.113,68.287,68.478,68.689,68.918,69.163,69.42,69.689,69.969,70.266,70.584,70.929,71.3,71.699,72.125,72.576,73.046,73.528,74.017,74.507,74.999,75.488,75.969,76.432,76.865,77.26,77.609,77.911,78.161,78.36,78.507,78.611,78.683,78.732,78.768,78.8,78.833,78.875,78.93,79.004,..
Lebanon,LBN,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5620,7040,7020,10330,11270,13300,14120,16130,16260,17040,15670,16890,16840.0001525879,17409.9998474121,17879.9991607666,17280.0006866455,16229.9995422363,15039.999961853,18649.9996185303,21899.9996185303,20860.0006103516,21180.0003051758,23469.9993133545,23239.9997711182,25149.9996185303,27010.0002288818,27809.9994659424,29319.9996948242,27790.0009155273,27950.0007629395,..,..
Lebanon,LBN,"Population, total",SP.POP.TOTL,2417837,2481943,2536772,2575746,2596409,2601734,2597202,2590911,2588928,2594299,2606148,2622072,2638056,2651992,2660873,2667957,2684682,2726438,2803032,2921700,3076133,3246129,3403359,3528379,3610663,3658425,3693514,3747762,3842774,3990999,4182205,4388378,4569377,4698761,4759760,4767347,4764745,4813026,4953064,5202022,5537620,5913016,6261046,6532681,6714281,6819373,6859408,6855709,6825442,6769151
